order_id,order_date,product_id,customer_id,quantity,unit_price,sales,region,store_type
1,2024-04,2,12,2,281,562,East,Physical
2,2023-09,8,14,7,331,2317,West,Physical
3,2023-10,5,16,2,132,264,South,Physical
4,2023-08,9,15,1,600,600,South,Online
5,2024-10,8,11,3,672,2016,South,Online
6,2024-02,1,5,7,120,840,South,Online
7,2023-07,8,12,2,112,224,South,Online
8,2024-02,8,5,3,763,2289,South,Physical
9,2024-06,1,3,5,541,2705,North,Online
10,2023-01,10,14,7,472,3304,North,Online
11,2024-07,3,7,1,643,643,West,Physical
12,2024-04,7,7,4,604,2416,South,Online
13,2024-11,3,2,9,725,6525,South,Physical
14,2024-09,4,11,7,427,2989,West,Online
15,2023-07,1,1,9,362,3258,East,Online
16,2024-09,9,3,7,789,5523,South,Online
17,2024-10,5,1,3,313,939,South,Physical
18,2024-01,8,9,4,192,768,East,Online
19,2024-03,4,12,7,465,3255,North,Online
20,2024-09,1,17,1,81,81,East,Physical
21,2024-07,7,5,1,464,464,North,Physical
22,2023-05,5,12,6,495,2970,North,Physical
23,2024-03,8,17,6,359,2154,West,Physical
24,2024-09,6,11,1,280,280,South,Online
25,2023-11,3,20,4,482,1928,East,Online
26,2024-05,3,20,7,568,3976,West,Physical
27,2024-10,7,18,8,720,5760,North,Physical
28,2024-04,2,10,3,342,1026,South,Physical
29,2023-12,9,20,1,81,81,West,Physical
30,2023-09,5,5,7,88,616,West,Online
31,2024-10,3,20,8,133,1064,South,Online
32,2024-09,1,8,4,501,2004,South,Physical
33,2023-09,3,16,9,178,1602,West,Online
34,2023-12,2,3,9,240,2160,South,Online
35,2024-02,5,16,4,583,2332,South,Physical
36,2023-05,3,17,1,767,767,South,Online
37,2024-04,7,14,6,309,1854,West,Online
38,2024-03,8,2,5,688,3440,South,Online
39,2024-04,5,16,3,595,1785,North,Physical
40,2023-02,1,12,5,597,2985,North,Physical
41,2023-02,8,17,5,686,3430,North,Physical
42,2023-04,5,1,3,207,621,East,Online
43,2024-07,10,3,8,765,6120,South,Physical
44,2023-10,6,2,2,183,366,West,Online
45,2023-09,7,10,7,617,4319,North,Physical
46,2024-02,10,7,9,115,1035,West,Physical
47,2023-11,8,14,3,550,1650,North,Physical
48,2023-12,2,19,9,777,6993,North,Physical
49,2023-05,6,17,4,761,3044,East,Online
50,2023-02,5,1,8,132,1056,South,Physical
51,2024-09,5,7,4,429,1716,North,Online
52,2024-10,2,10,3,736,2208,South,Online
53,2024-08,10,5,5,206,1030,West,Physical
54,2024-10,10,1,2,175,350,East,Physical
55,2024-07,9,8,5,351,1755,West,Online
56,2024-12,5,3,3,165,495,West,Online
57,2023-08,5,15,1,173,173,East,Physical
58,2024-03,10,16,5,630,3150,South,Online
59,2023-09,5,10,6,179,1074,East,Physical
60,2023-08,10,19,1,404,404,West,Physical
61,2023-01,8,16,7,337,2359,West,Physical
62,2023-06,4,12,2,754,1508,South,Online
63,2024-11,5,12,3,656,1968,West,Physical
64,2023-02,2,19,2,114,228,North,Online
65,2023-03,8,10,2,194,388,West,Online
66,2023-07,10,18,8,499,3992,West,Online
67,2024-11,10,5,9,271,2439,North,Online
68,2023-04,4,18,1,175,175,South,Online
69,2023-07,5,12,1,774,774,West,Online
70,2023-08,3,9,1,141,141,South,Physical
71,2024-12,6,13,3,256,768,South,Physical
72,2024-03,9,19,9,534,4806,South,Physical
73,2024-01,4,19,5,148,740,North,Physical
74,2023-01,4,4,5,230,1150,South,Online
75,2023-02,5,10,7,477,3339,North,Physical
76,2023-05,3,11,2,667,1334,West,Physical
77,2024-05,1,6,7,253,1771,West,Physical
78,2023-06,9,18,2,596,1192,West,Online
79,2024-02,3,8,1,421,421,South,Online
80,2024-05,7,13,4,149,596,South,Online
81,2024-03,6,7,3,118,354,East,Online
82,2023-06,2,20,8,440,3520,North,Online
83,2024-01,9,17,9,196,1764,East,Physical
84,2024-07,5,16,6,292,1752,North,Physical
85,2023-08,4,3,3,611,1833,West,Physical
86,2023-02,9,17,1,452,452,East,Physical
87,2023-09,7,11,8,437,3496,South,Physical
88,2024-10,5,8,4,169,676,South,Physical
89,2023-11,2,5,9,783,7047,North,Physical
90,2023-05,9,1,5,540,2700,South,Physical
91,2024-07,3,6,2,335,670,West,Online
92,2024-03,10,18,5,198,990,South,Online
93,2024-01,1,18,1,361,361,North,Online
94,2024-11,1,2,9,178,1602,North,Online
95,2024-02,7,6,1,788,788,North,Online
96,2024-03,7,5,5,756,3780,East,Physical
97,2023-03,1,14,9,80,720,North,Online
98,2024-12,4,1,1,567,567,South,Physical
99,2023-12,8,7,2,517,1034,East,Online
100,2023-11,1,12,5,480,2400,South,Online
101,2023-10,7,15,5,657,3285,North,Online
102,2023-04,6,2,6,385,2310,East,Physical
103,2023-12,3,2,4,328,1312,East,Online
104,2023-12,7,10,3,160,480,West,Online
105,2023-05,8,17,1,587,587,South,Physical
106,2023-03,2,6,5,529,2645,West,Physical
107,2023-02,3,15,9,742,6678,North,Physical
108,2023-04,6,16,8,439,3512,South,Physical
109,2023-10,3,3,2,140,280,East,Online
110,2024-02,5,5,2,683,1366,East,Online
111,2024-06,5,6,1,724,724,West,Physical
112,2023-12,2,17,9,328,2952,North,Online
113,2023-08,8,11,1,105,105,South,Online
114,2023-01,1,3,4,798,3192,North,Online
115,2023-02,6,14,7,157,1099,South,Physical
116,2023-12,10,14,8,86,688,North,Online
117,2023-12,2,6,3,94,282,South,Online
118,2024-09,5,10,7,352,2464,North,Physical
119,2024-04,9,17,4,104,416,South,Physical
120,2023-03,9,13,2,190,380,South,Online
121,2024-04,2,15,8,448,3584,South,Online
122,2024-07,9,5,6,771,4626,East,Physical
123,2024-03,8,13,6,456,2736,West,Online
124,2024-10,5,6,6,582,3492,South,Physical
125,2023-12,8,9,7,322,2254,North,Physical
126,2023-08,4,6,2,547,1094,South,Online
127,2023-01,6,17,8,653,5224,West,Physical
128,2024-12,8,19,5,405,2025,East,Physical
